"Photo","MLS #","Status","Address","Subdivision-Free Text","Living Area","Year Built","Bedrooms Total","Bathrooms Full","Bathrooms Half","Property Sub Type","List Price","Close Price","Close Date","Days On Market","Price Per SQFT","Lot Size Acres"
"https://cdn.photos.sparkplatform.com/tri/20250914213512337553000000-o.jpg?preset=thumb","10121870","Closed","125 Pinnacle Drive","Summit at Homestead","1767","2025","3","2","1","Townhouse","$424,990","$424,990","12/10/2025","0","$240.51","0.05"
"https://cdn.photos.sparkplatform.com/tri/20230928055616221700000000-o.jpg?preset=thumb","2509921","Closed","124 Justice Street","Elkin Hills","1103","1974","3","1","1","Single Family Residence","$385,000","$425,000","6/12/2023","4","$385.31","0.31"
"https://cdn.photos.sparkplatform.com/tri/20230928061056259801000000-o.jpg?preset=thumb","2512978","Closed","1545 Ephesus Church Road","Colony Woods","1627","1963","3","3","0","Single Family Residence","$425,000","$425,000","7/7/2023","11","$261.22","0.47"
"https://cdn.photos.sparkplatform.com/tri/20230809055603315670000000-o.jpg?preset=thumb","2499800","Closed","1007 Oak Tree Drive","The Oaks Condos","1294","1974","3","2","1","Condominium","$325,000","$425,000","4/10/2023","2","$328.44","0.00"
"https://cdn.photos.sparkplatform.com/tri/20240412231934812569000000-o.jpg?preset=thumb","10022879","Closed","708 Copperline Drive","Southern Village","1258","1998","2","2","0","Condominium","$395,000","$425,000","5/20/2024","4","$337.84","0.00"
"https://cdn.photos.sparkplatform.com/tri/20240912214731706718000000-o.jpg?preset=thumb","10053674","Closed","101 Essex Drive","Coventry","1611","1983","3","2","0","Townhouse","$425,000","$425,000","9/19/2024","0","$263.81","0.08"
"https://cdn.photos.sparkplatform.com/tri/20250110171036259528000000-o.jpg?preset=thumb","10071290","Closed","13 Clover Drive","The Meadows","1603","1979","3","2","1","Duplex","$425,000","$425,000","3/28/2025","25","$265.13","0.11"
"https://cdn.photos.sparkplatform.com/tri/20250910174147150687000000-o.jpg?preset=thumb","10119321","Closed","131 Blanche Way","Weavers Grove","1576","2025","3","2","1","Single Family Residence","$449,000","$425,000","11/17/2025","0","$269.67","0.06"
"https://cdn.photos.sparkplatform.com/tri/20251025182521134567000000-o.jpg?preset=thumb","10129804","Closed","1203 Hillsborough Road","Byers","1643","1952","3","2","0","Single Family Residence","$475,000","$425,000","12/22/2025","27","$258.67","0.47"
"https://cdn.photos.sparkplatform.com/tri/20250308185049302758000000-o.jpg?preset=thumb","10081107","Closed","1614 Clearwater Lake Road","Not in a Subdivision","1390","1965","3","1","0","Single Family Residence","$435,000","$425,000","4/30/2025","7","$305.76","2.08"
"https://cdn.photos.sparkplatform.com/tri/20240314195851526972000000-o.jpg?preset=thumb","10017189","Closed","702 Copperline Drive","Southern Village","1295","1998","2","2","0","Condominium","$415,000","$425,000","5/1/2024","6","$328.19","0.00"
"https://cdn.photos.sparkplatform.com/tri/20240207140326024857000000-o.jpg?preset=thumb","10010261","Closed","140 Berry Patch Lane","Summerfield Crossing","1375","1984","3","2","0","Townhouse","$395,000","$425,000","3/1/2024","2","$309.09","0.05"
"https://cdn.photos.sparkplatform.com/tri/20231125234449865518000000-o.jpg?preset=thumb","2529895","Closed","934 Edgewater Circle","Southern Village","1330","2000","2","2","1","Townhouse","$430,000","$425,000","11/16/2023","44","$319.55","0.10"
"https://cdn.photos.sparkplatform.com/tri/20230902160742664978000000-o.jpg?preset=thumb","2502630","Closed","107 Cabernet Drive","Vineyard Square","2225","2003","3","3","1","Townhouse","$450,000","$425,000","4/24/2023","8","$191.01","0.15"
"https://zimg.paragon.ice.com/ParagonImages/Static/120/90/61aedaf5bf0874194f1d30a9dce8d2c3/NoPhotoAvailable.jpg","10044456","Closed","104 Cathy Road","Windwood","1364","1965","3","1","1","Single Family Residence","$425,000","$425,000","8/1/2024","0","$311.58","0.57"
"https://cdn.photos.sparkplatform.com/tri/20250626003500384581000000-o.jpg?preset=thumb","10105942","Closed","2222 Pathway Drive","Fairoaks","1739","1987","3","3","1","Townhouse","$425,000","$425,000","8/15/2025","26","$244.39","0.11"
