edge_idx,scenario,zone,age_group,children
11933,baseline,nearest,0_4,1.03
4356,baseline,nearest,0_4,1.03
3252,baseline,nearest,0_4,0.68
12994,baseline,nearest,0_4,0.2
13841,baseline,nearest,0_4,0.17
2516,baseline,nearest,0_4,1.72
2515,baseline,nearest,0_4,0.2
6504,baseline,nearest,0_4,0.07
2732,baseline,nearest,0_4,0.71
4203,baseline,nearest,0_4,0.23
11935,baseline,nearest,0_4,0.52
3251,baseline,nearest,0_4,0.17
2513,baseline,nearest,0_4,0.74
3693,baseline,nearest,0_4,32.3
3688,baseline,nearest,0_4,31.8
3689,baseline,nearest,0_4,31.44
12214,baseline,nearest,0_4,30.84
11940,baseline,nearest,0_4,30.84
11941,baseline,nearest,0_4,30.49
3685,baseline,nearest,0_4,29.53
3686,baseline,nearest,0_4,25.67
8712,baseline,nearest,0_4,5.49
8719,baseline,nearest,0_4,4.63
8714,baseline,nearest,0_4,4.28
8713,baseline,nearest,0_4,3.08
5865,baseline,nearest,0_4,1.25
6220,baseline,nearest,0_4,0.7
5864,baseline,nearest,0_4,1.48
2512,baseline,nearest,0_4,1.31
2511,baseline,nearest,0_4,0.4
12683,baseline,nearest,0_4,0.34
12685,baseline,nearest,0_4,0.13
14500,baseline,nearest,0_4,0.1
14341,baseline,nearest,0_4,0.07
2734,baseline,nearest,0_4,0.48
2736,baseline,nearest,0_4,0.27
13731,baseline,nearest,0_4,0.0
5081,baseline,nearest,0_4,8.01
8717,baseline,nearest,0_4,1.53
3687,baseline,nearest,0_4,1.72
2510,baseline,nearest,0_4,0.57
5601,baseline,nearest,0_4,0.1
2514,baseline,nearest,0_4,0.57
6156,baseline,nearest,0_4,6.26
5926,baseline,nearest,0_4,7.05
3299,baseline,nearest,0_4,6.5
1719,baseline,nearest,0_4,4.17
1720,baseline,nearest,0_4,2.11
6181,baseline,nearest,0_4,0.88
13652,baseline,nearest,0_4,0.69
5766,baseline,nearest,0_4,1.64
5762,baseline,nearest,0_4,0.53
13151,baseline,nearest,0_4,0.47
13149,baseline,nearest,0_4,0.07
13153,baseline,nearest,0_4,0.07
13150,baseline,nearest,0_4,0.24
2517,baseline,nearest,0_4,0.13
3047,baseline,nearest,0_4,5.52
12528,baseline,nearest,0_4,0.01
9885,baseline,nearest,0_4,4.08
5925,baseline,nearest,0_4,0.41
1592,baseline,nearest,0_4,1.47
12605,baseline,nearest,0_4,1.13
3399,baseline,nearest,0_4,0.45
5765,baseline,nearest,0_4,0.54
10059,baseline,nearest,0_4,0.03
11771,baseline,nearest,0_4,0.34
6826,baseline,nearest,0_4,0.07
3929,baseline,nearest,0_4,2.63
3928,baseline,nearest,0_4,1.9
13904,baseline,nearest,0_4,1.9
4552,baseline,nearest,0_4,1.86
4554,baseline,nearest,0_4,1.47
5946,baseline,nearest,0_4,1.42
5945,baseline,nearest,0_4,0.58
6422,baseline,nearest,0_4,0.58
13871,baseline,nearest,0_4,0.34
3926,baseline,nearest,0_4,0.56
12472,baseline,nearest,0_4,0.43
12471,baseline,nearest,0_4,0.43
4205,baseline,nearest,0_4,0.09
6881,baseline,nearest,0_4,0.09
6473,baseline,nearest,0_4,168.55
10786,baseline,nearest,0_4,159.65
8735,baseline,nearest,0_4,159.65
6470,baseline,nearest,0_4,103.49
6469,baseline,nearest,0_4,88.89
6465,baseline,nearest,0_4,83.83
6466,baseline,nearest,0_4,83.83
9827,baseline,nearest,0_4,83.04
10966,baseline,nearest,0_4,81.82
