scheme,source_zone,destination_magnet,race,count
mae_fit,Scroggs Elementary,Glenwood Elementary,other_nh,0.23434381290810924
mae_fit,Scroggs Elementary,Glenwood Elementary,two_plus_nh,1.5453578222983284
mae_fit,Seawell Elementary,Glenwood Elementary,white_nh,8.38459914464687
mae_fit,Seawell Elementary,Glenwood Elementary,black_nh,2.324498798767269
mae_fit,Seawell Elementary,Glenwood Elementary,asian_nh,2.0994572128048627
mae_fit,Seawell Elementary,Glenwood Elementary,hispanic,0.3185315130640848
mae_fit,Seawell Elementary,Glenwood Elementary,aian_nh,0.04532241971293226
mae_fit,Seawell Elementary,Glenwood Elementary,nhpi_nh,0.0015184381454039825
mae_fit,Seawell Elementary,Glenwood Elementary,other_nh,0.19772483929262
mae_fit,Seawell Elementary,Glenwood Elementary,two_plus_nh,0.767534173536205
mae_fit,Carrboro Elementary,Seawell Elementary,white_nh,13.355505496215317
mae_fit,Carrboro Elementary,Seawell Elementary,black_nh,0.14847219798548478
mae_fit,Carrboro Elementary,Seawell Elementary,asian_nh,0.13426880301801453
mae_fit,Carrboro Elementary,Seawell Elementary,hispanic,0.013577461799601231
mae_fit,Carrboro Elementary,Seawell Elementary,aian_nh,1.0419652080556184e-07
mae_fit,Carrboro Elementary,Seawell Elementary,other_nh,0.02089244355582542
mae_fit,Carrboro Elementary,Seawell Elementary,two_plus_nh,0.03452894631247913
mae_fit,Ephesus Elementary,Seawell Elementary,white_nh,29.354191650831915
mae_fit,Ephesus Elementary,Seawell Elementary,black_nh,0.36641284447686234
mae_fit,Ephesus Elementary,Seawell Elementary,asian_nh,0.5587350899799304
mae_fit,Ephesus Elementary,Seawell Elementary,hispanic,0.11341562864018007
mae_fit,Ephesus Elementary,Seawell Elementary,aian_nh,0.004494665373493741
mae_fit,Ephesus Elementary,Seawell Elementary,nhpi_nh,9.382044931215626e-08
mae_fit,Ephesus Elementary,Seawell Elementary,other_nh,0.014748050062217292
mae_fit,Ephesus Elementary,Seawell Elementary,two_plus_nh,0.5661583081417748
mae_fit,Estes Hills Elementary,Seawell Elementary,white_nh,26.553915672227777
mae_fit,Estes Hills Elementary,Seawell Elementary,black_nh,0.1782369243038102
mae_fit,Estes Hills Elementary,Seawell Elementary,asian_nh,0.7800227500375145
mae_fit,Estes Hills Elementary,Seawell Elementary,hispanic,0.10460517075584597
mae_fit,Estes Hills Elementary,Seawell Elementary,aian_nh,0.012582632828594063
mae_fit,Estes Hills Elementary,Seawell Elementary,nhpi_nh,0.0020969214719510285
mae_fit,Estes Hills Elementary,Seawell Elementary,other_nh,0.03154399420730528
mae_fit,Estes Hills Elementary,Seawell Elementary,two_plus_nh,0.6129069201653691
mae_fit,Glenwood Elementary,Seawell Elementary,white_nh,4.099399907522146
mae_fit,Glenwood Elementary,Seawell Elementary,black_nh,0.04218979107309531
mae_fit,Glenwood Elementary,Seawell Elementary,asian_nh,0.026435410432483052
mae_fit,Glenwood Elementary,Seawell Elementary,hispanic,0.014617479104478262
mae_fit,Glenwood Elementary,Seawell Elementary,aian_nh,0.03145419392545242
mae_fit,Glenwood Elementary,Seawell Elementary,other_nh,0.0003102710476743637
mae_fit,Glenwood Elementary,Seawell Elementary,two_plus_nh,0.005283609366332251
mae_fit,McDougle Elementary,Seawell Elementary,white_nh,50.873417315665705
mae_fit,McDougle Elementary,Seawell Elementary,black_nh,0.5291165466020721
mae_fit,McDougle Elementary,Seawell Elementary,asian_nh,0.5576969078685801
mae_fit,McDougle Elementary,Seawell Elementary,hispanic,0.2688693843653222
mae_fit,McDougle Elementary,Seawell Elementary,aian_nh,0.0001336901810189662
mae_fit,McDougle Elementary,Seawell Elementary,other_nh,0.019269982265762663
mae_fit,McDougle Elementary,Seawell Elementary,two_plus_nh,0.5345409930082996
mae_fit,Morris Grove Elementary,Seawell Elementary,white_nh,24.594017249329006
mae_fit,Morris Grove Elementary,Seawell Elementary,black_nh,0.6244814641321221
mae_fit,Morris Grove Elementary,Seawell Elementary,asian_nh,1.0253127881352357
mae_fit,Morris Grove Elementary,Seawell Elementary,hispanic,0.12714005943376872
mae_fit,Morris Grove Elementary,Seawell Elementary,aian_nh,0.01993357109515298
mae_fit,Morris Grove Elementary,Seawell Elementary,nhpi_nh,0.0010631066064763516
mae_fit,Morris Grove Elementary,Seawell Elementary,other_nh,0.01022724455063357
mae_fit,Morris Grove Elementary,Seawell Elementary,two_plus_nh,0.3437021176706886
mae_fit,Northside Elementary,Seawell Elementary,white_nh,35.41369620138617
mae_fit,Northside Elementary,Seawell Elementary,black_nh,0.44273970284719216
mae_fit,Northside Elementary,Seawell Elementary,asian_nh,0.7169462741229431
mae_fit,Northside Elementary,Seawell Elementary,hispanic,0.1428785581361249
mae_fit,Northside Elementary,Seawell Elementary,aian_nh,0.018206320991274703
mae_fit,Northside Elementary,Seawell Elementary,nhpi_nh,0.0005704206351546298
mae_fit,Northside Elementary,Seawell Elementary,other_nh,0.007865056840346805
mae_fit,Northside Elementary,Seawell Elementary,two_plus_nh,0.2639423584917235
mae_fit,Rashkis Elementary,Seawell Elementary,white_nh,15.355703370660777
mae_fit,Rashkis Elementary,Seawell Elementary,black_nh,0.20895388587863342
mae_fit,Rashkis Elementary,Seawell Elementary,asian_nh,0.7167588416391447
mae_fit,Rashkis Elementary,Seawell Elementary,hispanic,0.04938840349730464
mae_fit,Rashkis Elementary,Seawell Elementary,aian_nh,0.0009898968072164698
mae_fit,Rashkis Elementary,Seawell Elementary,other_nh,0.004636281958224737
